printLowestSalaryinWorld,30-08-2020 10:57:34,Thread-3
getNumberOfEmployees,30-08-2020 10:57:34,Thread-4
printListOfSecretaries,30-08-2020 10:57:34,Thread-6
printBigestSalaryinWorld,30-08-2020 10:57:34,Thread-3
printListOfStudents,30-08-2020 10:57:34,Thread-6
getNumberOfPersons,30-08-2020 10:57:34,Thread-4
getSumOfSalaries,30-08-2020 10:57:34,Thread-4
printFacultyEmployees,30-08-2020 10:57:34,Thread-5
printCountries,30-08-2020 10:57:57,Thread-6
printListOfOtherJobs,30-08-2020 10:57:57,Thread-5
getNumberOfEmployees,30-08-2020 10:57:57,Thread-4
doesThisCountryExist,30-08-2020 10:57:57,Thread-6
printMedianSalaryInWworld,30-08-2020 10:57:57,Thread-3
getNumberOfPersons,30-08-2020 10:57:57,Thread-4
printListOfSecretaries,30-08-2020 10:57:57,Thread-6
printLowestSalaryinWorld,30-08-2020 10:57:57,Thread-3
printListOfStudents,30-08-2020 10:57:57,Thread-6
getSumOfSalaries,30-08-2020 10:57:57,Thread-4
printBigestSalaryinWorld,30-08-2020 10:57:57,Thread-3
printFacultyEmployees,30-08-2020 10:57:57,Thread-5
getNumberOfEmployees,30-08-2020 11:02:16,Thread-4
printListOfOtherJobs,30-08-2020 11:02:16,Thread-5
printMedianSalaryInWworld,30-08-2020 11:02:16,Thread-3
printLowestSalaryinWorld,30-08-2020 11:02:16,Thread-3
printCountries,30-08-2020 11:02:16,Thread-6
getNumberOfPersons,30-08-2020 11:02:16,Thread-4
printBigestSalaryinWorld,30-08-2020 11:02:16,Thread-3
doesThisCountryExist,30-08-2020 11:02:16,Thread-6
getSumOfSalaries,30-08-2020 11:02:16,Thread-4
printListOfSecretaries,30-08-2020 11:02:16,Thread-6
printListOfStudents,30-08-2020 11:02:16,Thread-6
printFacultyEmployees,30-08-2020 11:02:16,Thread-5
printCountries,30-08-2020 11:06:18,Thread-6
printListOfOtherJobs,30-08-2020 11:06:18,Thread-5
printMedianSalaryInWworld,30-08-2020 11:06:18,Thread-3
printLowestSalaryinWorld,30-08-2020 11:06:18,Thread-3
doesThisCountryExist,30-08-2020 11:06:18,Thread-6
getNumberOfEmployees,30-08-2020 11:06:18,Thread-4
printListOfSecretaries,30-08-2020 11:06:18,Thread-6
printBigestSalaryinWorld,30-08-2020 11:06:18,Thread-3
getNumberOfPersons,30-08-2020 11:06:18,Thread-4
printListOfStudents,30-08-2020 11:06:18,Thread-6
getSumOfSalaries,30-08-2020 11:06:18,Thread-4
printFacultyEmployees,30-08-2020 11:06:18,Thread-5
getNumberOfEmployees,30-08-2020 11:09:14,Thread-4
printListOfOtherJobs,30-08-2020 11:09:14,Thread-5
printCountries,30-08-2020 11:09:14,Thread-6
doesThisCountryExist,30-08-2020 11:09:14,Thread-6
printMedianSalaryInWworld,30-08-2020 11:09:14,Thread-3
getNumberOfPersons,30-08-2020 11:09:14,Thread-4
printListOfSecretaries,30-08-2020 11:09:14,Thread-6
printLowestSalaryinWorld,30-08-2020 11:09:14,Thread-3
getSumOfSalaries,30-08-2020 11:09:14,Thread-4
printListOfStudents,30-08-2020 11:09:14,Thread-6
printBigestSalaryinWorld,30-08-2020 11:09:14,Thread-3
printFacultyEmployees,30-08-2020 11:09:14,Thread-5
printCountries,30-08-2020 11:14:17,Thread-6
printListOfOtherJobs,30-08-2020 11:14:17,Thread-5
doesThisCountryExist,30-08-2020 11:14:17,Thread-6
getNumberOfEmployees,30-08-2020 11:14:17,Thread-4
printMedianSalaryInWworld,30-08-2020 11:14:17,Thread-3
printListOfSecretaries,30-08-2020 11:14:17,Thread-6
printLowestSalaryinWorld,30-08-2020 11:14:17,Thread-3
printListOfStudents,30-08-2020 11:14:17,Thread-6
getNumberOfPersons,30-08-2020 11:14:17,Thread-4
printBigestSalaryinWorld,30-08-2020 11:14:17,Thread-3
getSumOfSalaries,30-08-2020 11:14:17,Thread-4
printFacultyEmployees,30-08-2020 11:14:17,Thread-5
getNumberOfEmployees,30-08-2020 11:50:05,Thread-4
printListOfOtherJobs,30-08-2020 11:50:05,Thread-5
printMedianSalaryInWworld,30-08-2020 11:50:05,Thread-3
getNumberOfPersons,30-08-2020 11:50:05,Thread-4
printCountries,30-08-2020 11:50:05,Thread-6
printLowestSalaryinWorld,30-08-2020 11:50:05,Thread-3
doesThisCountryExist,30-08-2020 11:50:05,Thread-6
printFacultyEmployees,30-08-2020 11:50:05,Thread-5
printListOfSecretaries,30-08-2020 11:50:05,Thread-6
printListOfStudents,30-08-2020 11:50:05,Thread-6
getSumOfSalaries,30-08-2020 11:50:05,Thread-4
printBigestSalaryinWorld,30-08-2020 11:50:05,Thread-3
printMedianSalaryInWworld,30-08-2020 11:51:32,Thread-3
printCountries,30-08-2020 11:51:32,Thread-6
printListOfOtherJobs,30-08-2020 11:51:32,Thread-5
